Equation;Variable domains;Variables;Equation-Description;Taxonomy-Domain;Taxonomy-Subdomain;Taxonomy-Specific;Equation_Full
I.12.11;$\mathit{B} \in [1.0,5.0]$;$B$: magnetic field;Lorentz force (combined electric and magnetic);Physics;Electromagnetism;Lorentz Force;I.12.11
I.12.11;$\mathit{v} \in [1.0,5.0]$;$v$: velocity;Lorentz force (combined electric and magnetic);Physics;Electromagnetism;Lorentz Force;I.12.11
I.12.11;$\theta \in [1.0,5.0]$;$\theta$: angle;Lorentz force (combined electric and magnetic);Physics;Electromagnetism;Lorentz Force;I.12.11
I.13.4;$\mathit{m} \in [1.0,5.0]$;$m$: mass of particle;Kinetic energy in 3D;Physics;Classical Mechanics;Kinetic Energy;I.13.4
I.13.4;$\mathit{u} \in [1.0,5.0]$;$u$: velocity x-component;Kinetic energy in 3D;Physics;Classical Mechanics;Kinetic Energy;I.13.4
I.13.4;$\mathit{v} \in [1.0,5.0]$;$v$: velocity y-component;Kinetic energy in 3D;Physics;Classical Mechanics;Kinetic Energy;I.13.4
I.13.4;$\mathit{w} \in [1.0,5.0]$;$w$: velocity z-component;Kinetic energy in 3D;Physics;Classical Mechanics;Kinetic Energy;I.13.4
I.13.12;$\mathit{G} \in [1.0,5.0]$;$G$: gravitational constant;Gravitational potential energy difference;Physics;Classical Mechanics;Gravitational Potential;I.13.12
I.13.12;$\mathit{m1} \in [1.0,5.0]$;$m_1$: mass of body 1;Gravitational potential energy difference;Physics;Classical Mechanics;Gravitational Potential;I.13.12
I.13.12;$\mathit{m2} \in [1.0,5.0]$;$m_2$: mass of body 2;Gravitational potential energy difference;Physics;Classical Mechanics;Gravitational Potential;I.13.12
I.13.12;$\mathit{r1} \in [1.0,5.0]$;$r_1$: initial radial distance;Gravitational potential energy difference;Physics;Classical Mechanics;Gravitational Potential;I.13.12
I.13.12;$\mathit{r2} \in [1.0,5.0]$;$r_2$: final radial distance;Gravitational potential energy difference;Physics;Classical Mechanics;Gravitational Potential;I.13.12
I.14.3;$\mathit{m} \in [1.0,5.0]$;$m$: mass;Gravitational potential energy;Physics;Classical Mechanics;Gravitational Potential;I.14.3
I.14.3;$\mathit{g} \in [1.0,5.0]$;$g$: grav acceleration;Gravitational potential energy;Physics;Classical Mechanics;Gravitational Potential;I.14.3
I.14.3;$\mathit{z} \in [1.0,5.0]$;$z$: height;Gravitational potential energy;Physics;Classical Mechanics;Gravitational Potential;I.14.3
I.14.4;$\mathit{k_{spring}} \in [1.0,5.0]$;$k_{spring}$: spring constant;Elastic potential energy (Hooke's law);Physics;Classical Mechanics;Elastic Energy;I.14.4
I.14.4;$\mathit{x} \in [1.0,5.0]$;$x$: displacement;Elastic potential energy (Hooke's law);Physics;Classical Mechanics;Elastic Energy;I.14.4
I.15.3x;$\mathit{x} \in [5.0,10.0]$;$x$: position;Lorentz transformation for position (special relativity);Physics;Relativity;Lorentz Transformation;I.15.3x
I.15.3x;$\mathit{u} \in [1.0,2.0]$;$t$: time;Lorentz transformation for position (special relativity);Physics;Relativity;Lorentz Transformation;I.15.3x
I.15.3x;$\mathit{c} \in [3.0,20.0]$;$u$: relative velocity;Lorentz transformation for position (special relativity);Physics;Relativity;Lorentz Transformation;I.15.3x
I.15.3x;$\mathit{t} \in [1.0,2.0]$;$c$: speed of light;Lorentz transformation for position (special relativity);Physics;Relativity;Lorentz Transformation;I.15.3x
I.15.3t;$\mathit{x} \in [1.0,5.0]$;$t$: time;Lorentz transformation for time (special relativity);Physics;Relativity;Lorentz Transformation;I.15.3t
I.15.3t;$\mathit{c} \in [3.0,10.0]$;$x$: position;Lorentz transformation for time (special relativity);Physics;Relativity;Lorentz Transformation;I.15.3t
I.15.3t;$\mathit{u} \in [1.0,2.0]$;$u$: relative velocity;Lorentz transformation for time (special relativity);Physics;Relativity;Lorentz Transformation;I.15.3t
I.15.3t;$\mathit{t} \in [1.0,5.0]$;$c$: speed of light;Lorentz transformation for time (special relativity);Physics;Relativity;Lorentz Transformation;I.15.3t
I.15.1;$\mathit{m_0} \in [1.0,5.0]$;$m_0$: rest mass;Relativistic momentum;Physics;Relativity;Special Relativity;I.15.10
I.15.1;$\mathit{v} \in [1.0,2.0]$;$v$: velocity;Relativistic momentum;Physics;Relativity;Special Relativity;I.15.10
I.15.1;$\mathit{c} \in [3.0,10.0]$;$c$: speed of light;Relativistic momentum;Physics;Relativity;Special Relativity;I.15.10
I.16.6;$\mathit{u} \in [1.0,5.0]$;$u$: velocity of object in frame S';Relativistic velocity addition;Physics;Relativity;Velocity Addition;I.16.6
I.16.6;$\mathit{v} \in [1.0,5.0]$;$v$: velocity of frame S' relative to S;Relativistic velocity addition;Physics;Relativity;Velocity Addition;I.16.6
I.16.6;$\mathit{c} \in [1.0,5.0]$;$c$: speed of light in vacuum;Relativistic velocity addition;Physics;Relativity;Velocity Addition;I.16.6
I.18.4;$\mathit{m1} \in [1.0,5.0]$;$m_1$: mass of particle 1;Center of mass position;Physics;Classical Mechanics;Center of Mass;I.18.4
I.18.4;$\mathit{m2} \in [1.0,5.0]$;$m_2$: mass of particle 2;Center of mass position;Physics;Classical Mechanics;Center of Mass;I.18.4
I.18.4;$\mathit{r1} \in [1.0,5.0]$;$r_1$: position of particle 1;Center of mass position;Physics;Classical Mechanics;Center of Mass;I.18.4
I.18.4;$\mathit{r2} \in [1.0,5.0]$;$r_2$: position of particle 2;Center of mass position;Physics;Classical Mechanics;Center of Mass;I.18.4
I.18.12;$\mathit{r} \in [1.0,5.0]$;$F$: force;Torque (moment of force);Physics;Classical Mechanics;Rotational Dynamics;I.18.12
I.18.12;$\mathit{F} \in [1.0,5.0]$;$r$: distance;Torque (moment of force);Physics;Classical Mechanics;Rotational Dynamics;I.18.12
I.18.12;$\theta \in [0.0,5.0]$;$\theta$: angle;Torque (moment of force);Physics;Classical Mechanics;Rotational Dynamics;I.18.12
I.18.16;$\mathit{m} \in [1.0,5.0]$;$m$: mass;Angular momentum;Physics;Classical Mechanics;Angular Momentum;I.18.16
I.18.16;$\mathit{r} \in [1.0,5.0]$;$r$: distance;Angular momentum;Physics;Classical Mechanics;Angular Momentum;I.18.16
I.18.16;$\mathit{v} \in [1.0,5.0]$;$v$: velocity;Angular momentum;Physics;Classical Mechanics;Angular Momentum;I.18.16
I.18.16;$\theta \in [1.0,5.0]$;$\theta$: angle;Angular momentum;Physics;Classical Mechanics;Angular Momentum;I.18.16
I.24.6;$\mathit{m} \in [1.0,3.0]$;$m$: mass;Energy of forced harmonic oscillator;Physics;Classical Mechanics;Harmonic Oscillator;I.24.6
I.24.6;$\omega \in [1.0,3.0]$;$\omega$: driving frequency;Energy of forced harmonic oscillator;Physics;Classical Mechanics;Harmonic Oscillator;I.24.6
I.24.6;$\omega_0 \in [1.0,3.0]$;$\omega_0$: natural frequency;Energy of forced harmonic oscillator;Physics;Classical Mechanics;Harmonic Oscillator;I.24.6
I.24.6;$\mathit{x} \in [1.0,3.0]$;$x$: amplitude;Energy of forced harmonic oscillator;Physics;Classical Mechanics;Harmonic Oscillator;I.24.6
I.25.13;$\mathit{q} \in [1.0,5.0]$;$q$: charge;Voltage across capacitor;Physics;Electromagnetism;Capacitance;I.25.13
I.25.13;$\mathit{C} \in [1.0,5.0]$;$C$: capacitance;Voltage across capacitor;Physics;Electromagnetism;Capacitance;I.25.13
I.26.2;$\mathit{n} \in [0.0,1.0]$;$n$: refractive index;Snell's law (refraction angle);Physics;Optics;Refraction;I.26.2
I.26.2;$\theta_2 \in [1.0,5.0]$;$\theta_2$: incident angle;Snell's law (refraction angle);Physics;Optics;Refraction;I.26.2
I.27.6;$\mathit{d1} \in [1.0,5.0]$;$d_1$: object distance;Thin lens equation (image distance);Physics;Optics;Geometric Optics;I.27.6
I.27.6;$\mathit{d2} \in [1.0,5.0]$;$d_2$: focal length;Thin lens equation (image distance);Physics;Optics;Geometric Optics;I.27.6
I.27.6;$\mathit{n} \in [1.0,5.0]$;$n$: refractive index;Thin lens equation (image distance);Physics;Optics;Geometric Optics;I.27.6
I.29.4;$\omega \in [1.0,10.0]$;$\omega$: angular frequency;Wave number (k);Physics;Wave Mechanics;Wave Properties;I.29.4
I.29.4;$\mathit{c} \in [1.0,10.0]$;$c$: wave speed;Wave number (k);Physics;Wave Mechanics;Wave Properties;I.29.4
I.29.16;$\mathit{x1} \in [1.0,5.0]$;$x_1$: magnitude of vector 1;Law of cosines (distance in polar coords);Mathematics;Geometry;Trigonometry;I.29.16
I.29.16;$\mathit{x2} \in [1.0,5.0]$;$x_2$: magnitude of vector 2;Law of cosines (distance in polar coords);Mathematics;Geometry;Trigonometry;I.29.16
I.29.16;$\theta_1 \in [1.0,5.0]$;$\theta_1$: polar angle of vector 1;Law of cosines (distance in polar coords);Mathematics;Geometry;Trigonometry;I.29.16
I.29.16;$\theta_2 \in [1.0,5.0]$;$\theta_2$: polar angle of vector 2;Law of cosines (distance in polar coords);Mathematics;Geometry;Trigonometry;I.29.16
I.30.3;$\mathit{Int_0} \in [1.0,5.0]$;$Int_0$: max intensity;Multiple-slit diffraction intensity;Physics;Optics;Diffraction;I.30.3
I.30.3;$\theta \in [1.0,5.0]$;$\theta$: angle;Multiple-slit diffraction intensity;Physics;Optics;Diffraction;I.30.3
I.30.3;$\mathit{n} \in [1.0,5.0]$;$n$: number of slits;Multiple-slit diffraction intensity;Physics;Optics;Diffraction;I.30.3
I.30.5;$\mathit{lambd} \in [1.0,2.0]$;$\lambda$: wavelength;Diffraction grating angle;Physics;Optics;Diffraction;I.30.5
I.30.5;$\mathit{d} \in [2.0,5.0]$;$d$: grating spacing;Diffraction grating angle;Physics;Optics;Diffraction;I.30.5
I.30.5;$\mathit{n} \in [1.0,5.0]$;$n$: order;Diffraction grating angle;Physics;Optics;Diffraction;I.30.5
I.32.5;$\mathit{q} \in [1.0,5.0]$;$q$: charge;Abraham-Lorentz radiation power;Physics;Electromagnetism;Radiation;I.32.5
I.32.5;$\mathit{a} \in [1.0,5.0]$;$a$: acceleration;Abraham-Lorentz radiation power;Physics;Electromagnetism;Radiation;I.32.5
I.32.5;$\epsilon \in [1.0,5.0]$;$\epsilon$: permittivity;Abraham-Lorentz radiation power;Physics;Electromagnetism;Radiation;I.32.5
I.32.5;$\mathit{c} \in [1.0,5.0]$;$c$: speed of light;Abraham-Lorentz radiation power;Physics;Electromagnetism;Radiation;I.32.5
I.32.17;$\mathit{Ef} \in [1.0,2.0]$;$Ef$: electric field amplitude;Rayleigh scattering intensity;Physics;Optics;Light Scattering;I.32.17
I.32.17;$\epsilon \in [1.0,2.0]$;$\epsilon$: permittivity of medium;Rayleigh scattering intensity;Physics;Optics;Light Scattering;I.32.17
I.32.17;$\mathit{c} \in [1.0,2.0]$;$c$: speed of light;Rayleigh scattering intensity;Physics;Optics;Light Scattering;I.32.17
I.32.17;$\omega \in [1.0,2.0]$;$\omega$: incident light frequency;Rayleigh scattering intensity;Physics;Optics;Light Scattering;I.32.17
I.32.17;$\omega_0 \in [3.0,5.0]$;$\omega_0$: resonance frequency;Rayleigh scattering intensity;Physics;Optics;Light Scattering;I.32.17
I.32.17;$\mathit{r} \in [1.0,2.0]$;$r$: particle radius;Rayleigh scattering intensity;Physics;Optics;Light Scattering;I.32.17
I.34.8;$\mathit{B} \in [1.0,5.0]$;$B$: magnetic field strength;Cyclotron frequency;Physics;Electromagnetism;Particle Dynamics;I.34.8
I.34.8;$\mathit{q} \in [1.0,5.0]$;$q$: particle charge;Cyclotron frequency;Physics;Electromagnetism;Particle Dynamics;I.34.8
I.34.8;$\mathit{v} \in [1.0,5.0]$;$v$: particle velocity;Cyclotron frequency;Physics;Electromagnetism;Particle Dynamics;I.34.8
I.34.8;$\mathit{p} \in [1.0,5.0]$;$p$: particle momentum;Cyclotron frequency;Physics;Electromagnetism;Particle Dynamics;I.34.8
I.34.1;$\mathit{c} \in [3.0,10.0]$;$\omega_0$: rest frequency;Doppler shift (approaching);Physics;Wave Mechanics;Doppler Effect;I.34.10
I.34.1;$\mathit{v} \in [1.0,2.0]$;$v$: velocity;Doppler shift (approaching);Physics;Wave Mechanics;Doppler Effect;I.34.10
I.34.1;$\omega_0 \in [1.0,5.0]$;$c$: speed of light;Doppler shift (approaching);Physics;Wave Mechanics;Doppler Effect;I.34.10
I.34.14;$\mathit{c} \in [3.0,10.0]$;$\omega_0$: rest frequency;Relativistic Doppler shift;Physics;Relativity;Doppler Effect;I.34.14
I.34.14;$\mathit{v} \in [1.0,2.0]$;$v$: velocity;Relativistic Doppler shift;Physics;Relativity;Doppler Effect;I.34.14
I.34.14;$\omega_0 \in [1.0,5.0]$;$c$: speed of light;Relativistic Doppler shift;Physics;Relativity;Doppler Effect;I.34.14
I.34.27;$\omega \in [1.0,5.0]$;$h$: Planck's constant;Photon energy (quantum mechanics);Physics;Quantum Mechanics;Photon Energy;I.34.27
I.34.27;$\mathit{h} \in [1.0,5.0]$;$\omega$: angular frequency;Photon energy (quantum mechanics);Physics;Quantum Mechanics;Photon Energy;I.34.27
I.37.4;$\mathit{I1} \in [1.0,5.0]$;$I_1$: intensity of wave 1;Interference of two waves;Physics;Optics;Wave Interference;I.37.4
I.37.4;$\mathit{I2} \in [1.0,5.0]$;$I_2$: intensity of wave 2;Interference of two waves;Physics;Optics;Wave Interference;I.37.4
I.37.4;$\delta \in [1.0,5.0]$;$\delta$: phase difference between waves;Interference of two waves;Physics;Optics;Wave Interference;I.37.4
I.38.12;$\mathit{h} \in [1.0,5.0]$;$h$: Planck's constant;Bohr radius (atomic physics);Physics;Quantum Mechanics;Atomic Structure;I.38.12
I.38.12;$\mathit{m} \in [1.0,5.0]$;$m$: electron mass;Bohr radius (atomic physics);Physics;Quantum Mechanics;Atomic Structure;I.38.12
I.38.12;$\mathit{q} \in [1.0,5.0]$;$q$: electron charge;Bohr radius (atomic physics);Physics;Quantum Mechanics;Atomic Structure;I.38.12
I.38.12;$\epsilon \in [1.0,5.0]$;$\epsilon$: permittivity of vacuum;Bohr radius (atomic physics);Physics;Quantum Mechanics;Atomic Structure;I.38.12
I.39.1;$\mathit{V} \in [1.0,5.0]$;$V$: gas volume;Internal energy of monatomic ideal gas;Physics;Thermodynamics;Ideal Gas;I.39.10
I.39.1;$\mathit{pr} \in [1.0,5.0]$;$pr$: gas pressure;Internal energy of monatomic ideal gas;Physics;Thermodynamics;Ideal Gas;I.39.10
I.39.11;$\mathit{V} \in [1.0,5.0]$;$V$: gas volume;Internal energy of ideal gas;Physics;Thermodynamics;Ideal Gas;I.39.11
I.39.11;$\mathit{pr} \in [1.0,5.0]$;$pr$: gas pressure;Internal energy of ideal gas;Physics;Thermodynamics;Ideal Gas;I.39.11
I.39.11;$\gamma \in [2.0,5.0]$;$\gamma$: heat capacity ratio $C_p/C_v$;Internal energy of ideal gas;Physics;Thermodynamics;Ideal Gas;I.39.11
I.39.22;$\mathit{T} \in [1.0,5.0]$;$T$: absolute temperature;Ideal gas law (pressure);Physics;Thermodynamics;Gas Laws;I.39.22
I.39.22;$\mathit{kb} \in [1.0,5.0]$;$kb$: Boltzmann constant;Ideal gas law (pressure);Physics;Thermodynamics;Gas Laws;I.39.22
I.39.22;$\mathit{n} \in [1.0,5.0]$;$n$: number of molecules;Ideal gas law (pressure);Physics;Thermodynamics;Gas Laws;I.39.22
I.39.22;$\mathit{V} \in [1.0,5.0]$;$V$: gas volume;Ideal gas law (pressure);Physics;Thermodynamics;Gas Laws;I.39.22
I.40.1;$\mathit{n_0} \in [1.0,5.0]$;$n_0$: reference density;Barometric formula (atmospheric pressure);Physics;Fluid Dynamics;Atmospheric Physics;I.40.1
I.40.1;$\mathit{m} \in [1.0,5.0]$;$m$: molecular mass;Barometric formula (atmospheric pressure);Physics;Fluid Dynamics;Atmospheric Physics;I.40.1
I.40.1;$\mathit{x} \in [1.0,5.0]$;$x$: height;Barometric formula (atmospheric pressure);Physics;Fluid Dynamics;Atmospheric Physics;I.40.1
I.40.1;$\mathit{T} \in [1.0,5.0]$;$T$: temperature;Barometric formula (atmospheric pressure);Physics;Fluid Dynamics;Atmospheric Physics;I.40.1
I.40.1;$\mathit{g} \in [1.0,5.0]$;$g$: gravity;Barometric formula (atmospheric pressure);Physics;Fluid Dynamics;Atmospheric Physics;I.40.1
I.40.1;$\mathit{kb} \in [1.0,5.0]$;$kb$: Boltzmann constant;Barometric formula (atmospheric pressure);Physics;Fluid Dynamics;Atmospheric Physics;I.40.1
I.41.16;$\mathit{h} \in [1.0,5.0]$;$h$: Planck's constant;Planck's law (blackbody radiation);Physics;Quantum Mechanics;Blackbody Radiation;I.41.16
I.41.16;$\omega \in [1.0,5.0]$;$\omega$: angular frequency of radiation;Planck's law (blackbody radiation);Physics;Quantum Mechanics;Blackbody Radiation;I.41.16
I.41.16;$\mathit{T} \in [1.0,5.0]$;$T$: absolute temperature;Planck's law (blackbody radiation);Physics;Quantum Mechanics;Blackbody Radiation;I.41.16
I.41.16;$\mathit{kb} \in [1.0,5.0]$;$kb$: Boltzmann constant;Planck's law (blackbody radiation);Physics;Quantum Mechanics;Blackbody Radiation;I.41.16
I.41.16;$\mathit{c} \in [1.0,5.0]$;$c$: speed of light;Planck's law (blackbody radiation);Physics;Quantum Mechanics;Blackbody Radiation;I.41.16
I.43.16;$\mu_{drift} \in [1.0,5.0]$;$\mu_{drift}$: drift mobility;Drift current;Physics;Solid State Physics;Charge Transport;I.43.16
I.43.16;$\mathit{q} \in [1.0,5.0]$;$q$: charge;Drift current;Physics;Solid State Physics;Charge Transport;I.43.16
I.43.16;$\mathit{Volt} \in [1.0,5.0]$;$Volt$: voltage;Drift current;Physics;Solid State Physics;Charge Transport;I.43.16
I.43.16;$\mathit{d} \in [1.0,5.0]$;$d$: distance;Drift current;Physics;Solid State Physics;Charge Transport;I.43.16
I.43.31;$\mathit{T} \in [1.0,5.0]$;$T$: absolute temperature;Einstein relation (diffusion coefficient);Physics;Statistical Mechanics;Transport Phenomena;I.43.31
I.43.31;$\mathit{kb} \in [1.0,5.0]$;$kb$: Boltzmann constant;Einstein relation (diffusion coefficient);Physics;Statistical Mechanics;Transport Phenomena;I.43.31
I.43.31;$\mathit{mob} \in [1.0,5.0]$;$mob$: carrier mobility;Einstein relation (diffusion coefficient);Physics;Statistical Mechanics;Transport Phenomena;I.43.31
I.43.43;$\mathit{kb} \in [1.0,5.0]$;$kb$: Boltzmann constant;Mean free path in gas;Physics;Statistical Mechanics;Kinetic Theory;I.43.43
I.43.43;$\mathit{v} \in [1.0,5.0]$;$v$: mean molecular velocity;Mean free path in gas;Physics;Statistical Mechanics;Kinetic Theory;I.43.43
I.43.43;$\mathit{A} \in [1.0,5.0]$;$A$: molecular cross-section;Mean free path in gas;Physics;Statistical Mechanics;Kinetic Theory;I.43.43
I.43.43;$\gamma \in [2.0,5.0]$;$\gamma$: heat capacity ratio;Mean free path in gas;Physics;Statistical Mechanics;Kinetic Theory;I.43.43
I.44.4;$\mathit{T} \in [1.0,5.0]$;$T$: absolute temperature;Entropy change in isothermal expansion;Physics;Thermodynamics;Entropy;I.44.4
I.44.4;$\mathit{kb} \in [1.0,5.0]$;$kb$: Boltzmann constant;Entropy change in isothermal expansion;Physics;Thermodynamics;Entropy;I.44.4
I.44.4;$\mathit{n} \in [1.0,5.0]$;$n$: number of particles;Entropy change in isothermal expansion;Physics;Thermodynamics;Entropy;I.44.4
I.44.4;$\mathit{V1} \in [1.0,5.0]$;$V_1$: initial volume;Entropy change in isothermal expansion;Physics;Thermodynamics;Entropy;I.44.4
I.44.4;$\mathit{V2} \in [1.0,5.0]$;$V_2$: final volume;Entropy change in isothermal expansion;Physics;Thermodynamics;Entropy;I.44.4
I.47.23;$\gamma \in [1.0,5.0]$;$\gamma$: heat capacity ratio;Speed of sound in gas;Physics;Fluid Dynamics;Acoustics;I.47.23
I.47.23;$\mathit{pr} \in [1.0,5.0]$;$pr$: pressure;Speed of sound in gas;Physics;Fluid Dynamics;Acoustics;I.47.23
I.47.23;$\rho \in [1.0,5.0]$;$\rho$: density;Speed of sound in gas;Physics;Fluid Dynamics;Acoustics;I.47.23
I.48.2;$\mathit{m} \in [1.0,5.0]$;$m$: rest mass;Relativistic energy (E=mc²/y);Physics;Relativity;Mass-Energy Equivalence;I.48.2
I.48.2;$\mathit{v} \in [1.0,2.0]$;$v$: velocity;Relativistic energy (E=mc²/y);Physics;Relativity;Mass-Energy Equivalence;I.48.2
I.48.2;$\mathit{c} \in [3.0,10.0]$;$c$: speed of light;Relativistic energy (E=mc²/y);Physics;Relativity;Mass-Energy Equivalence;I.48.2
I.50.26;$\mathit{x1} \in [1.0,3.0]$;$x_1$: amplitude;Nonlinear oscillation;Physics;Classical Mechanics;Nonlinear Dynamics;I.50.26
