EquationKey,EquationChapter,Equation,Equation-Description,Taxonomy-Domain,Taxonomy-Subdomain,Taxonomy-Specific,Variable,Variable_LaTeX,Variables_Description_LaTeX,Variables_Domain,Variables_Domain_LaTeX
Feynman7,FeynmanICh11Eq19,I.11.19,Dot product of two 3D vectors,Mathematics,Linear Algebra,Vector Operations,y1,$y_1$,$y_1$: 1st component of vector $\mathbf{y}$,"y_1 \in [1.0,5.0]","$y_1 \in [1.0,5.0]$"
Feynman7,FeynmanICh11Eq19,I.11.19,Dot product of two 3D vectors,Mathematics,Linear Algebra,Vector Operations,y2,$y_2$,$y_2$: 2nd component of vector $\mathbf{y}$,"y_2 \in [1.0,5.0]","$y_2 \in [1.0,5.0]$"
Feynman7,FeynmanICh11Eq19,I.11.19,Dot product of two 3D vectors,Mathematics,Linear Algebra,Vector Operations,y3,$y_3$,$y_3$: 3rd component of vector $\mathbf{y}$,"y_3 \in [1.0,5.0]","$y_3 \in [1.0,5.0]$"
Feynman8,FeynmanICh12Eq1,I.12.1,Total magnetic moment (dipole moment),Physics,Electromagnetism,Magnetic Dipole,Nn,$Nn$,$Nn$: number density,"Nn \in [1.0,5.0]","$Nn \in [1.0,5.0]$"
Feynman8,FeynmanICh12Eq1,I.12.1,Total magnetic moment (dipole moment),Physics,Electromagnetism,Magnetic Dipole,mu,$\mu$,$\mu$: magnetic moment,"\mu \in [1.0,5.0]","$\mu \in [1.0,5.0]$"
Feynman10,FeynmanICh12Eq2,I.12.2,Coulomb's law (electrostatic force),Physics,Electromagnetism,Electrostatics,q1,$q_1$,$q_1$: charge of particle 1,"q_1 \in [1.0,5.0]","$q_1 \in [1.0,5.0]$"
Feynman10,FeynmanICh12Eq2,I.12.2,Coulomb's law (electrostatic force),Physics,Electromagnetism,Electrostatics,q2,$q_2$,$q_2$: charge of particle 2,"q_2 \in [1.0,5.0]","$q_2 \in [1.0,5.0]$"
Feynman10,FeynmanICh12Eq2,I.12.2,Coulomb's law (electrostatic force),Physics,Electromagnetism,Electrostatics,epsilon,$\epsilon$,$\epsilon$: permittivity of medium,"\epsilon \in [1.0,5.0]","$\epsilon \in [1.0,5.0]$"
Feynman10,FeynmanICh12Eq2,I.12.2,Coulomb's law (electrostatic force),Physics,Electromagnetism,Electrostatics,r,$r$,$r$: distance between charges,"r \in [1.0,5.0]","$r \in [1.0,5.0]$"
Feynman11,FeynmanICh12Eq4,I.12.4,Electric field magnitude from point charge,Physics,Electromagnetism,Electric Field,q1,$q_1$,$q_1$: charge,"q_1 \in [1.0,5.0]","$q_1 \in [1.0,5.0]$"
Feynman11,FeynmanICh12Eq4,I.12.4,Electric field magnitude from point charge,Physics,Electromagnetism,Electric Field,epsilon,$\epsilon$,$\epsilon$: permittivity,"\epsilon \in [1.0,5.0]","$\epsilon \in [1.0,5.0]$"
Feynman11,FeynmanICh12Eq4,I.12.4,Electric field magnitude from point charge,Physics,Electromagnetism,Electric Field,r,$r$,$r$: distance,"r \in [1.0,5.0]","$r \in [1.0,5.0]$"
Feynman12,FeynmanICh12Eq5,I.12.5,Electric force on charge in field,Physics,Electromagnetism,Electric Force,Ef,$Ef$,$Ef$: electric field,"Ef \in [1.0,5.0]","$Ef \in [1.0,5.0]$"
Feynman12,FeynmanICh12Eq5,I.12.5,Electric force on charge in field,Physics,Electromagnetism,Electric Force,q2,$q_2$,$q_2$: charge,"q_2 \in [1.0,5.0]","$q_2 \in [1.0,5.0]$"
Feynman13,FeynmanICh12Eq11,I.12.11,Lorentz force (combined electric and magnetic),Physics,Electromagnetism,Lorentz Force,q,$q$,$q$: charge,"q \in [1.0,5.0]","$q \in [1.0,5.0]$"
Feynman13,FeynmanICh12Eq11,I.12.11,Lorentz force (combined electric and magnetic),Physics,Electromagnetism,Lorentz Force,Ef,$Ef$,$Ef$: electric field,"Ef \in [1.0,5.0]","$Ef \in [1.0,5.0]$"
Feynman13,FeynmanICh12Eq11,I.12.11,Lorentz force (combined electric and magnetic),Physics,Electromagnetism,Lorentz Force,B,$B$,$B$: magnetic field,"B \in [1.0,5.0]","$B \in [1.0,5.0]$"
Feynman13,FeynmanICh12Eq11,I.12.11,Lorentz force (combined electric and magnetic),Physics,Electromagnetism,Lorentz Force,v,$v$,$v$: velocity,"v \in [1.0,5.0]","$v \in [1.0,5.0]$"
Feynman13,FeynmanICh12Eq11,I.12.11,Lorentz force (combined electric and magnetic),Physics,Electromagnetism,Lorentz Force,theta,$\theta$,$\theta$: angle,"\theta \in [1.0,5.0]","$\theta \in [1.0,5.0]$"
Feynman9,FeynmanICh13Eq4,I.13.4,Kinetic energy in 3D,Physics,Classical Mechanics,Kinetic Energy,m,$m$,$m$: mass of particle,"m \in [1.0,5.0]","$m \in [1.0,5.0]$"
Feynman9,FeynmanICh13Eq4,I.13.4,Kinetic energy in 3D,Physics,Classical Mechanics,Kinetic Energy,u,$u$,$u$: velocity x-component,"u \in [1.0,5.0]","$u \in [1.0,5.0]$"
Feynman9,FeynmanICh13Eq4,I.13.4,Kinetic energy in 3D,Physics,Classical Mechanics,Kinetic Energy,v,$v$,$v$: velocity y-component,"v \in [1.0,5.0]","$v \in [1.0,5.0]$"
Feynman9,FeynmanICh13Eq4,I.13.4,Kinetic energy in 3D,Physics,Classical Mechanics,Kinetic Energy,w,$w$,$w$: velocity z-component,"w \in [1.0,5.0]","$w \in [1.0,5.0]$"
Feynman14,FeynmanICh13Eq12,I.13.12,Gravitational potential energy difference,Physics,Classical Mechanics,Gravitational Potential,G,$G$,$G$: gravitational constant,"G \in [1.0,5.0]","$G \in [1.0,5.0]$"
Feynman14,FeynmanICh13Eq12,I.13.12,Gravitational potential energy difference,Physics,Classical Mechanics,Gravitational Potential,m1,$m_1$,$m_1$: mass of body 1,"m_1 \in [1.0,5.0]","$m_1 \in [1.0,5.0]$"
Feynman14,FeynmanICh13Eq12,I.13.12,Gravitational potential energy difference,Physics,Classical Mechanics,Gravitational Potential,m2,$m_2$,$m_2$: mass of body 2,"m_2 \in [1.0,5.0]","$m_2 \in [1.0,5.0]$"
Feynman14,FeynmanICh13Eq12,I.13.12,Gravitational potential energy difference,Physics,Classical Mechanics,Gravitational Potential,r1,$r_1$,$r_1$: initial radial distance,"r_1 \in [1.0,5.0]","$r_1 \in [1.0,5.0]$"
Feynman14,FeynmanICh13Eq12,I.13.12,Gravitational potential energy difference,Physics,Classical Mechanics,Gravitational Potential,r2,$r_2$,$r_2$: final radial distance,"r_2 \in [1.0,5.0]","$r_2 \in [1.0,5.0]$"
Feynman15,FeynmanICh14Eq3,I.14.3,Gravitational potential energy,Physics,Classical Mechanics,Gravitational Potential,m,$m$,$m$: mass,"m \in [1.0,5.0]","$m \in [1.0,5.0]$"
Feynman15,FeynmanICh14Eq3,I.14.3,Gravitational potential energy,Physics,Classical Mechanics,Gravitational Potential,g,$g$,$g$: grav acceleration,"g \in [1.0,5.0]","$g \in [1.0,5.0]$"
Feynman15,FeynmanICh14Eq3,I.14.3,Gravitational potential energy,Physics,Classical Mechanics,Gravitational Potential,z,$z$,$z$: height,"z \in [1.0,5.0]","$z \in [1.0,5.0]$"
Feynman16,FeynmanICh14Eq4,I.14.4,Elastic potential energy (Hooke's law),Physics,Classical Mechanics,Elastic Energy,kspring,$k_{spring}$,$k_{spring}$: spring constant,k_{spring},$k_{spring}
Feynman16,FeynmanICh14Eq4,I.14.4,Elastic potential energy (Hooke's law),Physics,Classical Mechanics,Elastic Energy,x,$x$,$x$: displacement,"x \in [1.0,5.0]","$x \in [1.0,5.0]$"
Feynman17,FeynmanICh15Eq3x,I.15.3x,Lorentz transformation for position (special relativity),Physics,Relativity,Lorentz Transformation,x,$x$,$x$: position,"x \in [5.0,10.0]","$x \in [5.0,10.0]$"
Feynman17,FeynmanICh15Eq3x,I.15.3x,Lorentz transformation for position (special relativity),Physics,Relativity,Lorentz Transformation,t,$t$,$t$: time,"t \in [1.0,2.0]","$t \in [1.0,2.0]$"
Feynman17,FeynmanICh15Eq3x,I.15.3x,Lorentz transformation for position (special relativity),Physics,Relativity,Lorentz Transformation,u,$u$,$u$: relative velocity,"u \in [3.0,20.0]","$u \in [3.0,20.0]$"
Feynman17,FeynmanICh15Eq3x,I.15.3x,Lorentz transformation for position (special relativity),Physics,Relativity,Lorentz Transformation,c,$c$,$c$: speed of light,"c \in [1.0,2.0]","$c \in [1.0,2.0]$"
Feynman18,FeynmanICh15Eq3t,I.15.3t,Lorentz transformation for time (special relativity),Physics,Relativity,Lorentz Transformation,t,$t$,$t$: time,"t \in [1.0,5.0]","$t \in [1.0,5.0]$"
Feynman18,FeynmanICh15Eq3t,I.15.3t,Lorentz transformation for time (special relativity),Physics,Relativity,Lorentz Transformation,x,$x$,$x$: position,"x \in [3.0,10.0]","$x \in [3.0,10.0]$"
Feynman18,FeynmanICh15Eq3t,I.15.3t,Lorentz transformation for time (special relativity),Physics,Relativity,Lorentz Transformation,u,$u$,$u$: relative velocity,"u \in [1.0,2.0]","$u \in [1.0,2.0]$"
Feynman18,FeynmanICh15Eq3t,I.15.3t,Lorentz transformation for time (special relativity),Physics,Relativity,Lorentz Transformation,c,$c$,$c$: speed of light,"c \in [1.0,5.0]","$c \in [1.0,5.0]$"
Feynman19,FeynmanICh15Eq10,I.15.1,Relativistic momentum,Physics,Relativity,Special Relativity,m0,$m_0$,$m_0$: rest mass,"m_0 \in [1.0,5.0]","$m_0 \in [1.0,5.0]$"
Feynman19,FeynmanICh15Eq10,I.15.1,Relativistic momentum,Physics,Relativity,Special Relativity,v,$v$,$v$: velocity,"v \in [1.0,2.0]","$v \in [1.0,2.0]$"
Feynman19,FeynmanICh15Eq10,I.15.1,Relativistic momentum,Physics,Relativity,Special Relativity,c,$c$,$c$: speed of light,"c \in [3.0,10.0]","$c \in [3.0,10.0]$"
Feynman20,FeynmanICh16Eq6,I.16.6,Relativistic velocity addition,Physics,Relativity,Velocity Addition,u,$u$,$u$: velocity of object in frame S',"u \in [1.0,5.0]","$u \in [1.0,5.0]$"
Feynman20,FeynmanICh16Eq6,I.16.6,Relativistic velocity addition,Physics,Relativity,Velocity Addition,v,$v$,$v$: velocity of frame S' relative to S,"v \in [1.0,5.0]","$v \in [1.0,5.0]$"
Feynman20,FeynmanICh16Eq6,I.16.6,Relativistic velocity addition,Physics,Relativity,Velocity Addition,c,$c$,$c$: speed of light in vacuum,"c \in [1.0,5.0]","$c \in [1.0,5.0]$"
Feynman21,FeynmanICh18Eq4,I.18.4,Center of mass position,Physics,Classical Mechanics,Center of Mass,m1,$m_1$,$m_1$: mass of particle 1,"m_1 \in [1.0,5.0]","$m_1 \in [1.0,5.0]$"
Feynman21,FeynmanICh18Eq4,I.18.4,Center of mass position,Physics,Classical Mechanics,Center of Mass,m2,$m_2$,$m_2$: mass of particle 2,"m_2 \in [1.0,5.0]","$m_2 \in [1.0,5.0]$"
Feynman21,FeynmanICh18Eq4,I.18.4,Center of mass position,Physics,Classical Mechanics,Center of Mass,r1,$r_1$,$r_1$: position of particle 1,"r_1 \in [1.0,5.0]","$r_1 \in [1.0,5.0]$"
Feynman21,FeynmanICh18Eq4,I.18.4,Center of mass position,Physics,Classical Mechanics,Center of Mass,r2,$r_2$,$r_2$: position of particle 2,"r_2 \in [1.0,5.0]","$r_2 \in [1.0,5.0]$"
Feynman22,FeynmanICh18Eq12,I.18.12,Torque (moment of force),Physics,Classical Mechanics,Rotational Dynamics,F,$F$,$F$: force,"F \in [1.0,5.0]","$F \in [1.0,5.0]$"
Feynman22,FeynmanICh18Eq12,I.18.12,Torque (moment of force),Physics,Classical Mechanics,Rotational Dynamics,r,$r$,$r$: distance,"r \in [1.0,5.0]","$r \in [1.0,5.0]$"
Feynman22,FeynmanICh18Eq12,I.18.12,Torque (moment of force),Physics,Classical Mechanics,Rotational Dynamics,theta,$\theta$,$\theta$: angle,"\theta \in [0.0,5.0]","$\theta \in [0.0,5.0]$"
Feynman23,FeynmanICh18Eq16,I.18.16,Angular momentum,Physics,Classical Mechanics,Angular Momentum,m,$m$,$m$: mass,"m \in [1.0,5.0]","$m \in [1.0,5.0]$"
Feynman23,FeynmanICh18Eq16,I.18.16,Angular momentum,Physics,Classical Mechanics,Angular Momentum,r,$r$,$r$: distance,"r \in [1.0,5.0]","$r \in [1.0,5.0]$"
Feynman23,FeynmanICh18Eq16,I.18.16,Angular momentum,Physics,Classical Mechanics,Angular Momentum,v,$v$,$v$: velocity,"v \in [1.0,5.0]","$v \in [1.0,5.0]$"
Feynman23,FeynmanICh18Eq16,I.18.16,Angular momentum,Physics,Classical Mechanics,Angular Momentum,theta,$\theta$,$\theta$: angle,"\theta \in [1.0,5.0]","$\theta \in [1.0,5.0]$"
Feynman24,FeynmanICh24Eq6,I.24.6,Energy of forced harmonic oscillator,Physics,Classical Mechanics,Harmonic Oscillator,m,$m$,$m$: mass,"m \in [1.0,3.0]","$m \in [1.0,3.0]$"
Feynman24,FeynmanICh24Eq6,I.24.6,Energy of forced harmonic oscillator,Physics,Classical Mechanics,Harmonic Oscillator,omega,$\omega$,$\omega$: driving frequency,"\omega \in [1.0,3.0]","$\omega \in [1.0,3.0]$"
Feynman24,FeynmanICh24Eq6,I.24.6,Energy of forced harmonic oscillator,Physics,Classical Mechanics,Harmonic Oscillator,omega0,$\omega_0$,$\omega_0$: natural frequency,"\omega_0 \in [1.0,3.0]","$\omega_0 \in [1.0,3.0]$"
Feynman24,FeynmanICh24Eq6,I.24.6,Energy of forced harmonic oscillator,Physics,Classical Mechanics,Harmonic Oscillator,x,$x$,$x$: amplitude,"x \in [1.0,3.0]","$x \in [1.0,3.0]$"
Feynman25,FeynmanICh25Eq13,I.25.13,Voltage across capacitor,Physics,Electromagnetism,Capacitance,q,$q$,$q$: charge,"q \in [1.0,5.0]","$q \in [1.0,5.0]$"
Feynman25,FeynmanICh25Eq13,I.25.13,Voltage across capacitor,Physics,Electromagnetism,Capacitance,C,$C$,$C$: capacitance,"C \in [1.0,5.0]","$C \in [1.0,5.0]$"
Feynman26,FeynmanICh26Eq2,I.26.2,Snell's law (refraction angle),Physics,Optics,Refraction,n,$n$,$n$: refractive index,"n \in [0.0,1.0]","$n \in [0.0,1.0]$"
Feynman26,FeynmanICh26Eq2,I.26.2,Snell's law (refraction angle),Physics,Optics,Refraction,theta2,$\theta_2$,$\theta_2$: incident angle,"\theta_2 \in [1.0,5.0]","$\theta_2 \in [1.0,5.0]$"
Feynman27,FeynmanICh27Eq6,I.27.6,Thin lens equation (image distance),Physics,Optics,Geometric Optics,d1,$d_1$,$d_1$: object distance,"d_1 \in [1.0,5.0]","$d_1 \in [1.0,5.0]$"
Feynman27,FeynmanICh27Eq6,I.27.6,Thin lens equation (image distance),Physics,Optics,Geometric Optics,d2,$d_2$,$d_2$: focal length,"d_2 \in [1.0,5.0]","$d_2 \in [1.0,5.0]$"
Feynman27,FeynmanICh27Eq6,I.27.6,Thin lens equation (image distance),Physics,Optics,Geometric Optics,n,$n$,$n$: refractive index,"n \in [1.0,5.0]","$n \in [1.0,5.0]$"
Feynman28,FeynmanICh29Eq4,I.29.4,Wave number (k),Physics,Wave Mechanics,Wave Properties,omega,$\omega$,$\omega$: angular frequency,"\omega \in [1.0,10.0]","$\omega \in [1.0,10.0]$"
Feynman28,FeynmanICh29Eq4,I.29.4,Wave number (k),Physics,Wave Mechanics,Wave Properties,c,$c$,$c$: wave speed,"c \in [1.0,10.0]","$c \in [1.0,10.0]$"
Feynman29,FeynmanICh29Eq16,I.29.16,Law of cosines (distance in polar coords),Mathematics,Geometry,Trigonometry,x1,$x_1$,$x_1$: magnitude of vector 1,"x_1 \in [1.0,5.0]","$x_1 \in [1.0,5.0]$"
Feynman29,FeynmanICh29Eq16,I.29.16,Law of cosines (distance in polar coords),Mathematics,Geometry,Trigonometry,x2,$x_2$,$x_2$: magnitude of vector 2,"x_2 \in [1.0,5.0]","$x_2 \in [1.0,5.0]$"
Feynman29,FeynmanICh29Eq16,I.29.16,Law of cosines (distance in polar coords),Mathematics,Geometry,Trigonometry,theta1,$\theta_1$,$\theta_1$: polar angle of vector 1,"\theta_1 \in [1.0,5.0]","$\theta_1 \in [1.0,5.0]$"
Feynman29,FeynmanICh29Eq16,I.29.16,Law of cosines (distance in polar coords),Mathematics,Geometry,Trigonometry,theta2,$\theta_2$,$\theta_2$: polar angle of vector 2,"\theta_2 \in [1.0,5.0]","$\theta_2 \in [1.0,5.0]$"
Feynman30,FeynmanICh30Eq3,I.30.3,Multiple-slit diffraction intensity,Physics,Optics,Diffraction,Int0,$Int_0$,$Int_0$: max intensity,"Int_0 \in [1.0,5.0]","$Int_0 \in [1.0,5.0]$"
Feynman30,FeynmanICh30Eq3,I.30.3,Multiple-slit diffraction intensity,Physics,Optics,Diffraction,theta,$\theta$,$\theta$: angle,"\theta \in [1.0,5.0]","$\theta \in [1.0,5.0]$"
Feynman30,FeynmanICh30Eq3,I.30.3,Multiple-slit diffraction intensity,Physics,Optics,Diffraction,n,$n$,$n$: number of slits,"n \in [1.0,5.0]","$n \in [1.0,5.0]$"
Feynman31,FeynmanICh30Eq5,I.30.5,Diffraction grating angle,Physics,Optics,Diffraction,lambda,$\lambda$,$\lambda$: wavelength,"\lambda \in [1.0,2.0]","$\lambda \in [1.0,2.0]$"
Feynman31,FeynmanICh30Eq5,I.30.5,Diffraction grating angle,Physics,Optics,Diffraction,d,$d$,$d$: grating spacing,"d \in [2.0,5.0]","$d \in [2.0,5.0]$"
Feynman31,FeynmanICh30Eq5,I.30.5,Diffraction grating angle,Physics,Optics,Diffraction,n,$n$,$n$: order,"n \in [1.0,5.0]","$n \in [1.0,5.0]$"
Feynman32,FeynmanICh32Eq5,I.32.5,Abraham-Lorentz radiation power,Physics,Electromagnetism,Radiation,q,$q$,$q$: charge,"q \in [1.0,5.0]","$q \in [1.0,5.0]$"
Feynman32,FeynmanICh32Eq5,I.32.5,Abraham-Lorentz radiation power,Physics,Electromagnetism,Radiation,a,$a$,$a$: acceleration,"a \in [1.0,5.0]","$a \in [1.0,5.0]$"
Feynman32,FeynmanICh32Eq5,I.32.5,Abraham-Lorentz radiation power,Physics,Electromagnetism,Radiation,epsilon,$\epsilon$,$\epsilon$: permittivity,"\epsilon \in [1.0,5.0]","$\epsilon \in [1.0,5.0]$"
Feynman32,FeynmanICh32Eq5,I.32.5,Abraham-Lorentz radiation power,Physics,Electromagnetism,Radiation,c,$c$,$c$: speed of light,"c \in [1.0,5.0]","$c \in [1.0,5.0]$"
Feynman33,FeynmanICh32Eq17,I.32.17,Rayleigh scattering intensity,Physics,Optics,Light Scattering,Ef,$Ef$,$Ef$: electric field amplitude,"Ef \in [1.0,2.0]","$Ef \in [1.0,2.0]$"
Feynman33,FeynmanICh32Eq17,I.32.17,Rayleigh scattering intensity,Physics,Optics,Light Scattering,epsilon,$\epsilon$,$\epsilon$: permittivity of medium,"\epsilon \in [1.0,2.0]","$\epsilon \in [1.0,2.0]$"
Feynman33,FeynmanICh32Eq17,I.32.17,Rayleigh scattering intensity,Physics,Optics,Light Scattering,c,$c$,$c$: speed of light,"c \in [1.0,2.0]","$c \in [1.0,2.0]$"
Feynman33,FeynmanICh32Eq17,I.32.17,Rayleigh scattering intensity,Physics,Optics,Light Scattering,omega,$\omega$,$\omega$: incident light frequency,"\omega \in [1.0,2.0]","$\omega \in [1.0,2.0]$"
Feynman33,FeynmanICh32Eq17,I.32.17,Rayleigh scattering intensity,Physics,Optics,Light Scattering,omega0,$\omega_0$,$\omega_0$: resonance frequency,"\omega_0 \in [3.0,5.0]","$\omega_0 \in [3.0,5.0]$"
Feynman33,FeynmanICh32Eq17,I.32.17,Rayleigh scattering intensity,Physics,Optics,Light Scattering,r,$r$,$r$: particle radius,"r \in [1.0,2.0]","$r \in [1.0,2.0]$"
Feynman34,FeynmanICh34Eq8,I.34.8,Cyclotron frequency,Physics,Electromagnetism,Particle Dynamics,B,$B$,$B$: magnetic field strength,"B \in [1.0,5.0]","$B \in [1.0,5.0]$"
Feynman34,FeynmanICh34Eq8,I.34.8,Cyclotron frequency,Physics,Electromagnetism,Particle Dynamics,q,$q$,$q$: particle charge,"q \in [1.0,5.0]","$q \in [1.0,5.0]$"
Feynman34,FeynmanICh34Eq8,I.34.8,Cyclotron frequency,Physics,Electromagnetism,Particle Dynamics,v,$v$,$v$: particle velocity,"v \in [1.0,5.0]","$v \in [1.0,5.0]$"
Feynman34,FeynmanICh34Eq8,I.34.8,Cyclotron frequency,Physics,Electromagnetism,Particle Dynamics,p,$p$,$p$: particle momentum,"p \in [1.0,5.0]","$p \in [1.0,5.0]$"
Feynman35,FeynmanICh34Eq10,I.34.1,Doppler shift (approaching),Physics,Wave Mechanics,Doppler Effect,omega0,$\omega_0$,$\omega_0$: rest frequency,"\omega_0 \in [3.0,10.0]","$\omega_0 \in [3.0,10.0]$"
Feynman35,FeynmanICh34Eq10,I.34.1,Doppler shift (approaching),Physics,Wave Mechanics,Doppler Effect,v,$v$,$v$: velocity,"v \in [1.0,2.0]","$v \in [1.0,2.0]$"
Feynman35,FeynmanICh34Eq10,I.34.1,Doppler shift (approaching),Physics,Wave Mechanics,Doppler Effect,c,$c$,$c$: speed of light,"\omega_0 \in [1.0,5.0]","$\omega_0 \in [1.0,5.0]$"
Feynman36,FeynmanICh34Eq14,I.34.14,Relativistic Doppler shift,Physics,Relativity,Doppler Effect,omega0,$\omega_0$,$\omega_0$: rest frequency,"\omega_0 \in [3.0,10.0]","$\omega_0 \in [3.0,10.0]$"
