EquationKey,EquationChapter,Equation,Equation-Description,Taxonomy-Domain,Taxonomy-Subdomain,Taxonomy-Specific,Variable_Key,Variable_Name,Variable_LaTeX,Variables_Description_LaTeX,Variables_Domain,Variables_Domain_LaTeX
Feynman5,FeynmanICh9Eq18,I.9.18,Newton's law of gravitation (gravitational potential energy),Physics,Classical Mechanics,Gravitational Force,x4,y2,$y_2$,$y_2$: y-coordinate of body 2,"y_2 \in [-10.0, -0.1] \cup [0.1, 10.0]","$y_2 \in [-10.0, -0.1] \cup [0.1, 10.0]$"
Feynman5,FeynmanICh9Eq18,I.9.18,Newton's law of gravitation (gravitational potential energy),Physics,Classical Mechanics,Gravitational Force,x5,y1,$y_1$,$y_1$: y-coordinate of body 1,"y_1 \in [-10.0, -0.1] \cup [0.1, 10.0]","$y_1 \in [-10.0, -0.1] \cup [0.1, 10.0]$"
Feynman5,FeynmanICh9Eq18,I.9.18,Newton's law of gravitation (gravitational potential energy),Physics,Classical Mechanics,Gravitational Force,x6,z2,$z_2$,$z_2$: z-coordinate of body 2,"z_2 \in [-10.0, -0.1] \cup [0.1, 10.0]","$z_2 \in [-10.0, -0.1] \cup [0.1, 10.0]$"
Feynman5,FeynmanICh9Eq18,I.9.18,Newton's law of gravitation (gravitational potential energy),Physics,Classical Mechanics,Gravitational Force,x7,z1,$z_1$,$z_1$: z-coordinate of body 1,"z_1 \in [-10.0, -0.1] \cup [0.1, 10.0]","$z_1 \in [-10.0, -0.1] \cup [0.1, 10.0]$"
Feynman6,FeynmanICh10Eq7,I.10.7,Relativistic mass (special relativity),Physics,Relativity,Special Relativity,x0,m_0,$m_0$,$m_0$: rest mass,"m_0 \in [0.1, 10.0]","$m_0 \in [0.1, 10.0]$"
Feynman6,FeynmanICh10Eq7,I.10.7,Relativistic mass (special relativity),Physics,Relativity,Special Relativity,x1,v,$v$,$v$: velocity,"v \in [100000.0, 100000000.0]","$v \in [100000.0, 100000000.0]$"
Feynman7,FeynmanICh11Eq19,I.11.19,Dot product of two 3D vectors,Mathematics,Linear Algebra,Vector Operations,x0,x1,$x_1$,$x_1$: 1st component of vector $\mathbf{x}$,"x_1 \in [-10.0, -0.1] \cup [0.1, 10.0]","$x_1 \in [-10.0, -0.1] \cup [0.1, 10.0]$"
Feynman7,FeynmanICh11Eq19,I.11.19,Dot product of two 3D vectors,Mathematics,Linear Algebra,Vector Operations,x1,y1,$y_1$,$y_1$: 1st component of vector $\mathbf{y}$,"y_1 \in [-10.0, -0.1] \cup [0.1, 10.0]","$y_1 \in [-10.0, -0.1] \cup [0.1, 10.0]$"
Feynman7,FeynmanICh11Eq19,I.11.19,Dot product of two 3D vectors,Mathematics,Linear Algebra,Vector Operations,x2,x2,$x_2$,$x_2$: 2nd component of vector $\mathbf{x}$,"x_2 \in [-10.0, -0.1] \cup [0.1, 10.0]","$x_2 \in [-10.0, -0.1] \cup [0.1, 10.0]$"
Feynman7,FeynmanICh11Eq19,I.11.19,Dot product of two 3D vectors,Mathematics,Linear Algebra,Vector Operations,x3,y2,$y_2$,$y_2$: 2nd component of vector $\mathbf{y}$,"y_2 \in [-10.0, -0.1] \cup [0.1, 10.0]","$y_2 \in [-10.0, -0.1] \cup [0.1, 10.0]$"
Feynman7,FeynmanICh11Eq19,I.11.19,Dot product of two 3D vectors,Mathematics,Linear Algebra,Vector Operations,x4,x3,$x_3$,$x_3$: 3rd component of vector $\mathbf{x}$,"x_3 \in [-10.0, -0.1] \cup [0.1, 10.0]","$x_3 \in [-10.0, -0.1] \cup [0.1, 10.0]$"
Feynman7,FeynmanICh11Eq19,I.11.19,Dot product of two 3D vectors,Mathematics,Linear Algebra,Vector Operations,x5,y3,$y_3$,$y_3$: 3rd component of vector $\mathbf{y}$,"y_3 \in [-10.0, -0.1] \cup [0.1, 10.0]","$y_3 \in [-10.0, -0.1] \cup [0.1, 10.0]$"
Feynman8,FeynmanICh12Eq1,I.12.1,Total magnetic moment (dipole moment),Physics,Electromagnetism,Magnetic Dipole,x0,mu,$\mu$,$\mu$: magnetic moment,"\mu \in [0.01, 1.0]","$\mu \in [0.01, 1.0]$"
Feynman8,FeynmanICh12Eq1,I.12.1,Total magnetic moment (dipole moment),Physics,Electromagnetism,Magnetic Dipole,x1,Nn,$Nn$,$Nn$: number density,"Nn \in [0.01, 1.0]","$Nn \in [0.01, 1.0]$"
Feynman10,FeynmanICh12Eq2,I.12.2,Coulomb's law (electrostatic force),Physics,Electromagnetism,Electrostatics,x0,q1,$q_1$,$q_1$: charge of particle 1,"q_1 \in [-10.0, -0.1] \cup [0.1, 10.0]","$q_1 \in [-10.0, -0.1] \cup [0.1, 10.0]$"
Feynman10,FeynmanICh12Eq2,I.12.2,Coulomb's law (electrostatic force),Physics,Electromagnetism,Electrostatics,x1,q2,$q_2$,$q_2$: charge of particle 2,"q_2 \in [-10.0, -0.1] \cup [0.1, 10.0]","$q_2 \in [-10.0, -0.1] \cup [0.1, 10.0]$"
Feynman10,FeynmanICh12Eq2,I.12.2,Coulomb's law (electrostatic force),Physics,Electromagnetism,Electrostatics,x2,r,$r$,$r$: distance between charges,"r \in [0.1, 10.0]","$r \in [0.1, 10.0]$"
Feynman11,FeynmanICh12Eq4,I.12.4,Electric field magnitude from point charge,Physics,Electromagnetism,Electric Field,x0,q1,$q_1$,$q_1$: charge,"q_1 \in [-10.0, -0.1] \cup [0.1, 10.0]","$q_1 \in [-10.0, -0.1] \cup [0.1, 10.0]$"
Feynman11,FeynmanICh12Eq4,I.12.4,Electric field magnitude from point charge,Physics,Electromagnetism,Electric Field,x1,r,$r$,$r$: distance,"r \in [0.1, 10.0]","$r \in [0.1, 10.0]$"
Feynman12,FeynmanICh12Eq5,I.12.5,Electric force on charge in field,Physics,Electromagnetism,Electric Force,x0,q2,$q_2$,$q_2$: charge,"q_2 \in [-10.0, -0.1] \cup [0.1, 10.0]","$q_2 \in [-10.0, -0.1] \cup [0.1, 10.0]$"
Feynman12,FeynmanICh12Eq5,I.12.5,Electric force on charge in field,Physics,Electromagnetism,Electric Force,x1,Ef,$Ef$,$Ef$: electric field,"Ef \in [-10.0, -0.1] \cup [0.1, 10.0]","$Ef \in [-10.0, -0.1] \cup [0.1, 10.0]$"
Feynman13,FeynmanICh12Eq11,I.12.11,Lorentz force (combined electric and magnetic),Physics,Electromagnetism,Lorentz Force,x0,q,$q$,$q$: charge,"q \in [-10.0, -0.1] \cup [0.1, 10.0]","$q \in [-10.0, -0.1] \cup [0.1, 10.0]$"
Feynman13,FeynmanICh12Eq11,I.12.11,Lorentz force (combined electric and magnetic),Physics,Electromagnetism,Lorentz Force,x1,Ef,$Ef$,$Ef$: electric field,"Ef \in [0.1, 10.0]","$Ef \in [0.1, 10.0]$"
Feynman13,FeynmanICh12Eq11,I.12.11,Lorentz force (combined electric and magnetic),Physics,Electromagnetism,Lorentz Force,x2,B,$B$,$B$: magnetic field,"B \in [0.1, 10.0]","$B \in [0.1, 10.0]$"
Feynman13,FeynmanICh12Eq11,I.12.11,Lorentz force (combined electric and magnetic),Physics,Electromagnetism,Lorentz Force,x3,v,$v$,$v$: velocity,"v \in [0.1, 10.0]","$v \in [0.1, 10.0]$"
Feynman13,FeynmanICh12Eq11,I.12.11,Lorentz force (combined electric and magnetic),Physics,Electromagnetism,Lorentz Force,x4,theta,$\theta$,$\theta$: angle,"\theta \in [0.0, 2.0 \times \pi]","$\theta \in [0.0, 2.0 \times \pi]$"
Feynman9,FeynmanICh13Eq4,I.13.4,Kinetic energy in 3D,Physics,Classical Mechanics,Kinetic Energy,x0,m,$m$,$m$: mass of particle,"m \in [0.1, 10.0]","$m \in [0.1, 10.0]$"
Feynman9,FeynmanICh13Eq4,I.13.4,Kinetic energy in 3D,Physics,Classical Mechanics,Kinetic Energy,x1,v,$v$,$v$: velocity y-component,"v \in [-10.0, -0.1] \cup [0.1, 10.0]","$v \in [-10.0, -0.1] \cup [0.1, 10.0]$"
Feynman9,FeynmanICh13Eq4,I.13.4,Kinetic energy in 3D,Physics,Classical Mechanics,Kinetic Energy,x2,u,$u$,$u$: velocity x-component,"u \in [-10.0, -0.1] \cup [0.1, 10.0]","$u \in [-10.0, -0.1] \cup [0.1, 10.0]$"
Feynman9,FeynmanICh13Eq4,I.13.4,Kinetic energy in 3D,Physics,Classical Mechanics,Kinetic Energy,x3,w,$w$,$w$: velocity z-component,"w \in [-10.0, -0.1] \cup [0.1, 10.0]","$w \in [-10.0, -0.1] \cup [0.1, 10.0]$"
Feynman14,FeynmanICh13Eq12,I.13.12,Gravitational potential energy difference,Physics,Classical Mechanics,Gravitational Potential,x0,m1,$m_1$,$m_1$: mass of body 1,"m_1 \in [0.01, 1.0]","$m_1 \in [0.01, 1.0]$"
Feynman14,FeynmanICh13Eq12,I.13.12,Gravitational potential energy difference,Physics,Classical Mechanics,Gravitational Potential,x1,m2,$m_2$,$m_2$: mass of body 2,"m_2 \in [0.01, 1.0]","$m_2 \in [0.01, 1.0]$"
Feynman14,FeynmanICh13Eq12,I.13.12,Gravitational potential energy difference,Physics,Classical Mechanics,Gravitational Potential,x2,r2,$r_2$,$r_2$: final radial distance,"r_2 \in [0.01, 1.0]","$r_2 \in [0.01, 1.0]$"
Feynman14,FeynmanICh13Eq12,I.13.12,Gravitational potential energy difference,Physics,Classical Mechanics,Gravitational Potential,x3,r1,$r_1$,$r_1$: initial radial distance,"r_1 \in [0.01, 1.0]","$r_1 \in [0.01, 1.0]$"
Feynman15,FeynmanICh14Eq3,I.14.3,Gravitational potential energy,Physics,Classical Mechanics,Gravitational Potential,x0,m,$m$,$m$: mass,"m \in [0.01, 1.0]","$m \in [0.01, 1.0]$"
Feynman15,FeynmanICh14Eq3,I.14.3,Gravitational potential energy,Physics,Classical Mechanics,Gravitational Potential,x1,z,$z$,$z$: height,"z \in [-1.0, -0.01] \cup [0.01, 1.0]","$z \in [-1.0, -0.01] \cup [0.01, 1.0]$"
Feynman16,FeynmanICh14Eq4,I.14.4,Elastic potential energy (Hooke's law),Physics,Classical Mechanics,Elastic Energy,x0,k_spring,$k_{spring}$,$k_{spring}$: spring constant,"k_{spring} \in [100.0, 10000.0]","$k_{spring} \in [100.0, 10000.0]$"
Feynman16,FeynmanICh14Eq4,I.14.4,Elastic potential energy (Hooke's law),Physics,Classical Mechanics,Elastic Energy,x1,x,$x$,$x$: displacement,"x \in [-1.0, -0.01] \cup [0.01, 1.0]","$x \in [-1.0, -0.01] \cup [0.01, 1.0]$"
Feynman19,FeynmanICh15Eq10,I.15.1,Relativistic momentum,Physics,Relativity,Special Relativity,x0,m_0,$m_0$,$m_0$: rest mass,"m_0 \in [0.01, 1.0]","$m_0 \in [0.01, 1.0]$"
Feynman19,FeynmanICh15Eq10,I.15.1,Relativistic momentum,Physics,Relativity,Special Relativity,x1,v,$v$,$v$: velocity,"v \in [-10000000.0, -100000.0] \cup [100000.0, 10000000.0]","$v \in [-10000000.0, -100000.0] \cup [100000.0, 10000000.0]$"
Feynman18,FeynmanICh15Eq3t,I.15.3t,Lorentz transformation for time (special relativity),Physics,Relativity,Lorentz Transformation,x0,t,$t$,$t$: time,"t \in [1e-06, 0.0001]","$t \in [1e-06, 0.0001]$"
Feynman18,FeynmanICh15Eq3t,I.15.3t,Lorentz transformation for time (special relativity),Physics,Relativity,Lorentz Transformation,x1,u,$u$,$u$: relative velocity,"u \in [-10000000.0, -100000.0] \cup [100000.0, 10000000.0]","$u \in [-10000000.0, -100000.0] \cup [100000.0, 10000000.0]$"
Feynman18,FeynmanICh15Eq3t,I.15.3t,Lorentz transformation for time (special relativity),Physics,Relativity,Lorentz Transformation,x2,x,$x$,$x$: position,"x \in [-100.0, -1.0] \cup [1.0, 100.0]","$x \in [-100.0, -1.0] \cup [1.0, 100.0]$"
Feynman17,FeynmanICh15Eq3x,I.15.3x,Lorentz transformation for position (special relativity),Physics,Relativity,Lorentz Transformation,x0,x,$x$,$x$: position,"x \in [-100.0, -1.0] \cup [1.0, 100.0]","$x \in [-100.0, -1.0] \cup [1.0, 100.0]$"
Feynman17,FeynmanICh15Eq3x,I.15.3x,Lorentz transformation for position (special relativity),Physics,Relativity,Lorentz Transformation,x1,u,$u$,$u$: relative velocity,"u \in [-100000000.0, -1000000.0] \cup [1000000.0, 100000000.0]","$u \in [-100000000.0, -1000000.0] \cup [1000000.0, 100000000.0]$"
Feynman17,FeynmanICh15Eq3x,I.15.3x,Lorentz transformation for position (special relativity),Physics,Relativity,Lorentz Transformation,x2,t,$t$,$t$: time,"t \in [1e-06, 0.0001]","$t \in [1e-06, 0.0001]$"
Feynman20,FeynmanICh16Eq6,I.16.6,Relativistic velocity addition,Physics,Relativity,Velocity Addition,x0,u,$u$,$u$: velocity of object in frame S',"u \in [-100000000.0, -1000000.0] \cup [1000000.0, 100000000.0]","$u \in [-100000000.0, -1000000.0] \cup [1000000.0, 100000000.0]$"
Feynman20,FeynmanICh16Eq6,I.16.6,Relativistic velocity addition,Physics,Relativity,Velocity Addition,x1,v,$v$,$v$: velocity of frame S' relative to S,"v \in [-100000000.0, -1000000.0] \cup [1000000.0, 100000000.0]","$v \in [-100000000.0, -1000000.0] \cup [1000000.0, 100000000.0]$"
Feynman21,FeynmanICh18Eq4,I.18.4,Center of mass position,Physics,Classical Mechanics,Center of Mass,x0,m1,$m_1$,$m_1$: mass of particle 1,"m_1 \in [0.1, 10.0]","$m_1 \in [0.1, 10.0]$"
Feynman21,FeynmanICh18Eq4,I.18.4,Center of mass position,Physics,Classical Mechanics,Center of Mass,x1,r1,$r_1$,$r_1$: position of particle 1,"r_1 \in [-10.0, -0.1] \cup [0.1, 10.0]","$r_1 \in [-10.0, -0.1] \cup [0.1, 10.0]$"
Feynman21,FeynmanICh18Eq4,I.18.4,Center of mass position,Physics,Classical Mechanics,Center of Mass,x2,m2,$m_2$,$m_2$: mass of particle 2,"m_2 \in [0.1, 10.0]","$m_2 \in [0.1, 10.0]$"
Feynman21,FeynmanICh18Eq4,I.18.4,Center of mass position,Physics,Classical Mechanics,Center of Mass,x3,r2,$r_2$,$r_2$: position of particle 2,"r_2 \in [-10.0, -0.1] \cup [0.1, 10.0]","$r_2 \in [-10.0, -0.1] \cup [0.1, 10.0]$"
Feynman22,FeynmanICh18Eq12,I.18.12,Torque (moment of force),Physics,Classical Mechanics,Rotational Dynamics,x0,r,$r$,$r$: distance,"r \in [0.1, 10.0]","$r \in [0.1, 10.0]$"
Feynman22,FeynmanICh18Eq12,I.18.12,Torque (moment of force),Physics,Classical Mechanics,Rotational Dynamics,x1,F,$F$,$F$: force,"F \in [0.1, 10.0]","$F \in [0.1, 10.0]$"
Feynman22,FeynmanICh18Eq12,I.18.12,Torque (moment of force),Physics,Classical Mechanics,Rotational Dynamics,x2,theta,$\theta$,$\theta$: angle,"\theta \in [0, 2.0 \times \pi]","$\theta \in [0, 2.0 \times \pi]$"
Feynman23,FeynmanICh18Eq16,I.18.16,Angular momentum,Physics,Classical Mechanics,Angular Momentum,x0,m,$m$,$m$: mass,"m \in [0.1, 10.0]","$m \in [0.1, 10.0]$"
Feynman23,FeynmanICh18Eq16,I.18.16,Angular momentum,Physics,Classical Mechanics,Angular Momentum,x1,r,$r$,$r$: distance,"r \in [0.1, 10.0]","$r \in [0.1, 10.0]$"
Feynman23,FeynmanICh18Eq16,I.18.16,Angular momentum,Physics,Classical Mechanics,Angular Momentum,x2,v,$v$,$v$: velocity,"v \in [0.1, 10.0]","$v \in [0.1, 10.0]$"
Feynman23,FeynmanICh18Eq16,I.18.16,Angular momentum,Physics,Classical Mechanics,Angular Momentum,x3,theta,$\theta$,$\theta$: angle,"\theta \in [0, 2.0 \times \pi]","$\theta \in [0, 2.0 \times \pi]$"
Feynman24,FeynmanICh24Eq6,I.24.6,Energy of forced harmonic oscillator,Physics,Classical Mechanics,Harmonic Oscillator,x0,m,$m$,$m$: mass,"m \in [0.1, 10.0]","$m \in [0.1, 10.0]$"
Feynman24,FeynmanICh24Eq6,I.24.6,Energy of forced harmonic oscillator,Physics,Classical Mechanics,Harmonic Oscillator,x1,omega,$\omega$,$\omega$: driving frequency,"\omega \in [-10.0, -0.1] \cup [0.1, 10.0]","$\omega \in [-10.0, -0.1] \cup [0.1, 10.0]$"
Feynman24,FeynmanICh24Eq6,I.24.6,Energy of forced harmonic oscillator,Physics,Classical Mechanics,Harmonic Oscillator,x2,omega_0,$\omega_0$,$\omega_0$: natural frequency,"\omega_0 \in [-10.0, -0.1] \cup [0.1, 10.0]","$\omega_0 \in [-10.0, -0.1] \cup [0.1, 10.0]$"
Feynman24,FeynmanICh24Eq6,I.24.6,Energy of forced harmonic oscillator,Physics,Classical Mechanics,Harmonic Oscillator,x3,x,$x$,$x$: amplitude,"x \in [-10.0, -0.1] \cup [0.1, 10.0]","$x \in [-10.0, -0.1] \cup [0.1, 10.0]$"
Feynman25,FeynmanICh25Eq13,I.25.13,Voltage across capacitor,Physics,Electromagnetism,Capacitance,x0,q,$q$,$q$: charge,"q \in [-0.001, -1e-05] \cup [1e-05, 0.001]","$q \in [-0.001, -1e-05] \cup [1e-05, 0.001]$"
Feynman25,FeynmanICh25Eq13,I.25.13,Voltage across capacitor,Physics,Electromagnetism,Capacitance,x1,C,$C$,$C$: capacitance,"C \in [1e-05, 0.001]","$C \in [1e-05, 0.001]$"
Feynman26,FeynmanICh26Eq2,I.26.2,Snell's law (refraction angle),Physics,Optics,Refraction,x0,theta1,$\theta_1$,$\theta_1$: angle of incidence,"\theta_1 in [0.0, 2 \times pi]","$\theta_1 in [0.0, 2 \times pi]$"
Feynman26,FeynmanICh26Eq2,I.26.2,Snell's law (refraction angle),Physics,Optics,Refraction,x1,theta2,$\theta_2$,$\theta_2$: angle of refraction,"\theta_2 in [0.0, 2 \times pi]","$\theta_2 in [0.0, 2 \times pi]$"
Feynman27,FeynmanICh27Eq6,I.27.6,Thin lens equation (image distance),Physics,Optics,Geometric Optics,x0,d1,$d_1$,$d_1$: object distance,"d_1 \in [0.001, 0.1]","$d_1 \in [0.001, 0.1]$"
Feynman27,FeynmanICh27Eq6,I.27.6,Thin lens equation (image distance),Physics,Optics,Geometric Optics,x1,n,$n$,$n$: refractive index,"n \in [0.1, 10.0]","$n \in [0.1, 10.0]$"
Feynman27,FeynmanICh27Eq6,I.27.6,Thin lens equation (image distance),Physics,Optics,Geometric Optics,x2,d2,$d_2$,$d_2$: focal length,"d_2 \in [0.001, 10.0]","$d_2 \in [0.001, 10.0]$"
Feynman28,FeynmanICh29Eq4,I.29.4,Wave number (k),Physics,Wave Mechanics,Wave Properties,x0,omega,$\omega$,$\omega$: angular frequency,"\omega \in [1000000000.0, 100000000000.0]","$\omega \in [1000000000.0, 100000000000.0]$"
Feynman29,FeynmanICh29Eq16,I.29.16,Law of cosines (distance in polar coords),Mathematics,Geometry,Trigonometry,x0,x1,$x_1$,$x_1$: magnitude of vector 1,"x_1 \in [0.1, 10.0]","$x_1 \in [0.1, 10.0]$"
Feynman29,FeynmanICh29Eq16,I.29.16,Law of cosines (distance in polar coords),Mathematics,Geometry,Trigonometry,x1,x2,$x_2$,$x_2$: magnitude of vector 2,"x_2 \in [0.1, 10.0]","$x_2 \in [0.1, 10.0]$"
Feynman29,FeynmanICh29Eq16,I.29.16,Law of cosines (distance in polar coords),Mathematics,Geometry,Trigonometry,x2,theta1,$\theta_1$,$\theta_1$: polar angle of vector 1,"\theta_1 \in [0, 2.0 \times \pi]","$\theta_1 \in [0, 2.0 \times \pi]$"
Feynman29,FeynmanICh29Eq16,I.29.16,Law of cosines (distance in polar coords),Mathematics,Geometry,Trigonometry,x3,theta2,$\theta_2$,$\theta_2$: polar angle of vector 2,"\theta_2 \in [0, 2.0 \times \pi]","$\theta_2 \in [0, 2.0 \times \pi]$"
Feynman30,FeynmanICh30Eq3,I.30.3,Multiple-slit diffraction intensity,Physics,Optics,Diffraction,x0,Int_0,$Int_0$,$Int_0$: max intensity,"Int_0 \in [10.0, 1000.0]","$Int_0 \in [10.0, 1000.0]$"
Feynman30,FeynmanICh30Eq3,I.30.3,Multiple-slit diffraction intensity,Physics,Optics,Diffraction,x1,n,$n$,$n$: number of slits,"n \in [10, 1000]","$n \in [10, 1000]$"
Feynman30,FeynmanICh30Eq3,I.30.3,Multiple-slit diffraction intensity,Physics,Optics,Diffraction,x2,theta,$\theta$,$\theta$: angle,"\theta \in [-2.0 \times \pi, 2.0 \times \pi]","$\theta \in [-2.0 \times \pi, 2.0 \times \pi]$"
Feynman31,FeynmanICh30Eq5,I.30.5,Diffraction grating angle,Physics,Optics,Diffraction,x0,lambda,$\lambda$,$\lambda$: wavelength,"\lambda in [1.0e-11, 1.0e-9]","$\lambda in [1.0e-11, 1.0e-9]$"
Feynman31,FeynmanICh30Eq5,I.30.5,Diffraction grating angle,Physics,Optics,Diffraction,x1,n,$n$,$n$: refractive index,"\n in [1.0, 1.0e2]","$\n in [1.0, 1.0e2]$"
Feynman31,FeynmanICh30Eq5,I.30.5,Diffraction grating angle,Physics,Optics,Diffraction,x2,theta,$\theta$,$\theta$: half-angle of the light cone,"\theta in [0.0, 2 \times \pi]","$\theta in [0.0, 2 \times \pi]$"
Feynman32,FeynmanICh32Eq5,I.32.5,Abraham-Lorentz radiation power,Physics,Electromagnetism,Radiation,x0,q,$q$,$q$: charge,"q \in [-0.1, -0.001] \cup [0.001, 0.1]","$q \in [-0.1, -0.001] \cup [0.001, 0.1]$"
Feynman32,FeynmanICh32Eq5,I.32.5,Abraham-Lorentz radiation power,Physics,Electromagnetism,Radiation,x1,a,$a$,$a$: acceleration,"a \in [100000.0, 10000000.0]","$a \in [100000.0, 10000000.0]$"
Feynman33,FeynmanICh32Eq17,I.32.17,Rayleigh scattering intensity,Physics,Optics,Light Scattering,x0,Ef,$Ef$,$Ef$: electric field amplitude,"Ef \in [-1000.0, -10.0] \cup [10.0, 1000.0]","$Ef \in [-1000.0, -10.0] \cup [10.0, 1000.0]$"
Feynman33,FeynmanICh32Eq17,I.32.17,Rayleigh scattering intensity,Physics,Optics,Light Scattering,x1,r,$r$,$r$: particle radius,"r \in [0.01, 1.0]","$r \in [0.01, 1.0]$"
Feynman33,FeynmanICh32Eq17,I.32.17,Rayleigh scattering intensity,Physics,Optics,Light Scattering,x2,omega,$\omega$,$\omega$: incident light frequency,"\omega \in [-100000000000.0, -1000000000.0] \cup [1000000000.0, 100000000000.0]","$\omega \in [-100000000000.0, -1000000000.0] \cup [1000000000.0, 100000000000.0]$"
Feynman33,FeynmanICh32Eq17,I.32.17,Rayleigh scattering intensity,Physics,Optics,Light Scattering,x3,omega_0,$\omega_0$,$\omega_0$: resonance frequency,"\omega_0 \in [-100000000000.0, -1000000000.0] \cup [1000000000.0, 100000000000.0]","$\omega_0 \in [-100000000000.0, -1000000000.0] \cup [1000000000.0, 100000000000.0]$"
Feynman35,FeynmanICh34Eq10,I.34.1,Doppler shift (approaching),Physics,Wave Mechanics,Doppler Effect,x0,omega_0,$\omega_0$,$\omega_0$: rest frequency,"\omega_0 \in [1000000000.0, 100000000000.0]","$\omega_0 \in [1000000000.0, 100000000000.0]$"
Feynman35,FeynmanICh34Eq10,I.34.1,Doppler shift (approaching),Physics,Wave Mechanics,Doppler Effect,x1,v,$v$,$v$: velocity,"v \in [-10000000.0, -100000.0] \cup [100000.0, 10000000.0]","$v \in [-10000000.0, -100000.0] \cup [100000.0, 10000000.0]$"
